recipe_tag	coefficient
bias	0.3077515312436664
alfredo	-0.0074441428883782355
almond	0.05705041287680882
american	0.017859643768827167
appetizer	0.0483709174246573
appetizers	-0.08905371732962292
apple	0.03226641248824576
asiancuisine	0.04879042480104565
asparagus	-0.002417877986726321
avocado	0.013462729397237663
bacon	0.02035027135051448
baked	-0.01486146061899282
bakeddishes	0.04008213732539484
bakery	-0.03284456551266704
baking	0.08827346133980184
beans	-0.006235420147079962
beef	0.0019357728164299468
bellpeppers	-0.02525840608523656
berries	-0.011295256909504302
blackbeans	-0.02525840608523656
blackvinegar	-0.004462975355857292
blueberry	0.036649965014928225
boiledeggs	-0.029440902030152448
bokchoy	-0.029440902030152448
braided	0.02403430863571679
bread	0.039559041702905764
breaded	0.01568321059207878
breakfast	0.011653669468070893
breakfastpastry	0.039557158939789866
brioche	-0.0329074218125681
broiling	-0.023747413794526464
brownies	0.022884573148268535
brownsugar	0.007033010019650034
brunch	0.02049096267312342
burger	0.0068878282533381355
burritos	-0.004943397917856947
buttery	0.01716396294753639
cake	0.01829958281463749
carrots	-0.029440902030152448
casserole	0.011889342755413142
celebration	0.0027586329579245904
cheese	-0.03144276943682226
cheesy	-0.02121462628228745
cherry	0.031236169385732253
chicken	0.015685453536061558
chickpeas	0.0068878282533381355
chilioil	-0.009094729952075492
chilipowder	-0.02525840608523656
chinese	-0.04842617384737421
chinesecookingwine	-0.004631754596218201
chinesecuisine	-0.042814620443995366
chocolate	0.12579977947593435
chocolatechip	0.036367821102882746
chocolatecroissant	0.039557158939789866
christmas	0.02554573761561835
cilantro	-0.022991259756162317
cinnamon	0.08573041608707596
citrus	-0.028893797858857487
classic	0.05794793995028363
cloves	0.016169424963902106
cobbler	0.07767872522278683
cocoapowder	0.01678471221005608
coffee	0.012879105674090181
cold	-0.04842617384737421
coldnoodles	0.046024698558120136
comfortfood	0.0031197371669519566
condiment	0.005809786277664094
cookies	0.07232255390084635
corn	0.0027586329579245904
cranberry	0.040954211594623625
creamcheese	-0.0025429068930254983
creamy	-0.020132258101500024
crisp	0.020348869256683867
crispy	0.005986819056446557
croissant	0.012879105674090181
croissants	-0.04263420842256787
crumble	0.04152102796118707
crust	0.016169424963902106
cucumber	0.046024698558120136
cumin	-0.02525840608523656
cupcakes	0.006140239458099264
custard	0.0449821292382338
custardy	-0.027065173576821703
customizable	-0.01410550242536612
danish	-0.0025429068930254983
dashibroth	0.037647728400230764
dates	0.10869024138000583
decadent	0.025031769345650448
dessert	0.40186639843311106
dinner	-0.024177754611343423
dip	-0.043975740793878726
donuts	-0.04041606981640516
easterneuropean	0.02403430863571679
easy	0.054575890785836176
easydinner	-0.03393373851509743
egg	-0.014578175656357417
eggs	-0.018544849399915436
eggwhites	0.07773774236369368
fajitaseasoning	0.014390038393923027
fall	0.024472451483698893
familyfriendly	-0.022044395759684286
fastfood	0.01568321059207878
fetacheese	0.04725188865728701
filling	-0.01121808345988784
fingerfood	0.030992662335138303
flaky	0.01451607952695872
french	-0.027341066797646488
frenchcuisine	0.010012021563838878
frenchpastry	0.019591699101213007
fresh	-0.02460227054792856
fried	0.029227291733753342
friedfood	-0.054938081761153
friedrice	0.00288741896547828
fries	-0.019187725747215636
frosting	0.024439822272736757
fruit	0.07669745159104473
fudgy	0.0009974607099336606
gamedayfood	-0.06465076843236986
ganache	0.0015148706045814099
garlic	-0.01904020975916406
ginger	-0.004631754596218201
glutenfree	-0.05384992212022205
goldenbrown	0.00993848241195006
greenbeans	0.001213286736681567
greenonion	-0.014408455162945859
greenonions	-0.03438429994800939
grill	0.0068878282533381355
grilled	-0.0129171247792076
grilling	-0.023747413794526464
groundbeef	-0.004642988034325246
gruyere	0.03480760796595878
gruyerecheese	-0.07862978713103494
guacamole	-0.017103787838393496
hamandcheese	-0.0025429068930254983
hamburger	-0.017448581193463743
handheld	-0.01410550242536612
handtorndough	0.025963211621052782
hawaii	-0.017448581193463743
hawaiian	0.02238609727029561
healthy	-0.08642069145703221
herbs	-0.021880053442017166
holiday	0.02830437057354294
homemade	0.016677009115838668
indulgent	0.006140239458099264
italian	-0.029970325573284533
italiancuisine	-0.0074441428883782355
jalapenos	-0.019187725747215636
japanesecuisine	0.0385378179884586
juicy	-0.04068905387077053
ketchup	-0.017448581193463743
keto	-0.07253818481858199
kidfriendly	0.030992662335138303
koreancuisine	0.025963211621052782
laminateddough	-0.03284456551266704
lasagna	-0.03464775406274015
lattice	0.016169424963902106
lettuce	0.008443509620759595
lime	-0.018359505159944115
loadednachos	-0.04546304268515423
lowcarb	-0.07253818481858199
lunch	-0.024177754611343423
macandcheese	0.006932915475321679
maple	-0.04041606981640516
maplesyrup	0.17004240877025742
masa	0.0027586329579245904
mayonnaise	-0.017448581193463743
meal	0.01568321059207878
mealprep	0.03957460366613501
meat	0.014372203145103225
meatsauce	-0.010905013767535977
mexican	-0.058792831293516395
mexicancuisine	-0.10000515062319679
mexicanfood	-0.04546304268515423
middleeastern	-0.023262996807330467
miso	-0.029440902030152448
muffins	0.03957460366613501
mushroom	-0.08112657243164595
mushrooms	-0.029440902030152448
nachos	-0.055268880487128094
noodles	-0.022558157584851222
noodlesoup	-0.029440902030152448
nori	0.02238609727029561
numbing	-0.04298339968435628
nutmeg	0.02320243498355214
oat	0.01649333894698813
oats	-0.00837546395935524
onion	-0.0011808680791393251
onions	-0.010868367691313535
onthego	0.02238609727029561
oven	0.039557158939789866
oysters	-0.01448290528698826
pacificislands	-0.017448581193463743
pancakes	0.17004240877025742
